ticker,n_obs,corr,cov,alpha,beta,r2,adj_r2,f_stat,f_pvalue,jb_stat,jb_pvalue,skew,kurt,dw_stat,coint_t,coint_p,adf_stat,adf_p,half_life,z_mean,z_std,z_current,z_gt1,z_gt2,z_lt_1,z_lt_2,score,rating,base
ICP-USD,1794,-0.09435557085604951,-75683.27031575314,19.51892203708679,-8.381563218095777e-05,0.008902973751570897,0.008349906214601854,16.09744408497096,6.264029064929838e-05,453132.93832221715,0.0,7.166038685704174,76.74755462301117,0.02609863641098761,-1.502403583430662,0.7602692478124907,-3.3568478060321754,0.012520889818632102,8.606720447018152,1.5842647397103683e-17,1.0000000000000002,-0.4152086305839959,0.09085841694537347,0.020066889632107024,0.0,0.0,40,Weak,BTC-USD
NEAR-USD,2002,0.5073560860701872,1626.3548637543233,-0.13606417199447082,0.00175960433904183,0.25741019807245935,0.2570389031714956,693.2769542600763,1.9697678342619823e-131,2275.284579565231,0.0,1.5887631036054246,4.160014283102217,0.01439771321316894,-2.880559902343848,0.1413924666311706,-3.0648682951103687,0.029264716049856303,98.66412662248324,-2.839331611428972e-17,0.9999999999999999,-0.8696950483712926,0.0959040959040959,0.057942057942057944,0.0984015984015984,0.0,37,Weak,ETH-USD
XMR-USD,2289,0.7001983042202308,2023689.3800595233,93.30323885618125,0.0020576488270686493,0.49027766523288674,0.49005478708038697,2199.756502527805,0.0,2000.2319856117786,0.0,1.2849983262389042,3.802498621146295,0.020349741116567614,-2.118571587492734,0.4666637139309531,-2.9816476759931594,0.03664418496554365,70.42484454761933,1.2416648942946268e-17,1.0,1.5703874822451425,0.12625600698995196,0.03844473569244211,0.1288772389689821,0.0030581039755351682,34,Weak,BTC-USD
BCH-USD,2289,0.5783251185689323,3403778.3561638827,192.33315971420316,0.0034608970186700587,0.3344599427677699,0.334168932685902,1149.3070639367781,1.8172224918197317e-204,9856.417533230087,0.0,2.172320089610854,9.21472520600985,0.024145964555607746,-2.1297613968687283,0.46082330230880775,-3.1778356796829814,0.0213040205825864,57.406771654370424,4.966659577178507e-17,1.0,0.03151110966227691,0.13149847094801223,0.03407601572739188,0.0891218872870249,0.0,34,Weak,BTC-USD
TRX-USD,2289,0.9276891010001705,2755.648534474919,-0.015803659612451632,2.8018909574991107e-06,0.8606070681145048,0.8605461179912492,14119.857715559527,0.0,783.0286572796999,9.278707528310185e-171,0.6566358045257455,2.5552705019678523,0.03217717621772145,-1.8013524923453061,0.6290649305297659,-1.2646836792130696,0.6451707850064639,52.358928902879306,7.449989365767761e-17,1.0,3.6683564070147274,0.08300567933595457,0.03145478374836173,0.16470074268239407,0.01703800786369594,33,Weak,BTC-USD
BCH-USD,2289,0.5918699747977137,128551.126259456,151.39648918435302,0.09598040323634871,0.35031006706704637,0.3500259875161357,1233.1407380218905,1.9017353491480734e-216,3350.1022372463626,0.0,1.4472254008078218,5.186825574021217,0.021433939815599715,-2.642234771260544,0.2210384255546572,-2.8233655318996873,0.05501290204592472,64.94159180509546,0.0,0.9999999999999999,0.5261241194398428,0.13062472695500219,0.02621231979030144,0.16470074268239407,0.0,33,Weak,ETH-USD
ARB-USD,2289,-0.07936543358534034,-22.201214583412227,0.0984291904131284,-1.6576140482439892e-05,0.00629887204818913,0.0058643722108687735,14.496834077164397,0.0001440886144142383,19920.00609132988,0.0,3.7332115217823123,12.406513080927207,0.022109949486390463,-2.4501774919082977,0.30147278620660956,-3.571332716143879,0.006333336855671771,62.58087654372042,-2.4833297885892536e-17,0.9999999999999999,-0.2506035664652194,0.061598951507208385,0.061598951507208385,0.0,0.0,33,Weak,ETH-USD
ARB-USD,2289,-0.1418819202078927,-1075.5040216886741,0.11536411810179673,-1.0935520097803853e-06,0.020130479281878944,0.019702027370764874,46.98422100517715,9.17139609395649e-12,18787.85274326294,0.0,3.650318000711662,12.018846697484998,0.022464219276797804,-1.5126774007794446,0.7562987856176693,-3.605644604139573,0.005654027457166623,61.49849190634348,0.0,1.0,-0.1496321626196817,0.061598951507208385,0.061598951507208385,0.0,0.0,33,Weak,BTC-USD
HBAR-USD,2289,0.6941468977730626,79.33495908211883,-0.0007770917788103488,5.9234030731651174e-05,0.4818399156879668,0.48161334809535117,2126.6938935319095,0.0,395.71511171257146,1.179112623042528e-86,0.8350757495726953,1.1727819858449626,0.016347639144372973,-2.6508901631189934,0.21773631311650343,-2.678761822193955,0.07778605541588582,85.5087795349239,-4.966659577178507e-17,1.0,-0.5630301283889324,0.14067278287461774,0.04193971166448231,0.11708169506334644,0.0,29,Weak,ETH-USD
ETC-USD,2289,0.5833721500797053,10217.827651485093,5.914658070347774,0.00762895858422643,0.3403230654886181,0.34003461908087385,1179.8485138016308,7.265869318097096e-209,9247.217955687363,0.0,2.1569691046687747,8.87471870087545,0.020683996071438476,-2.3187064860327147,0.36425649419434747,-2.918493976437442,0.043239280158068216,68.86044244220386,0.0,1.0,-1.1523381170404197,0.12319790301441677,0.05198776758409786,0.10703363914373089,0.0,27,Weak,ETH-USD
