ticker,n_obs,corr,cov,alpha,beta,r2,adj_r2,f_stat,f_pvalue,jb_stat,jb_pvalue,skew,kurt,dw_stat,coint_t,coint_p,adf_stat,adf_p,half_life,z_mean,z_std,z_current,z_gt1,z_gt2,z_lt_1,z_lt_2,score,rating
ETC-USD,2332,0.12376612403323724,58550.5970527351,19.31074072029674,5.971087907572863e-05,0.0153180534582108,0.014895443180724999,36.24628712141859,2.0145760532645095e-09,5885.1191220428045,0.0,2.060190418838034,6.6206636620319586,0.018496064082976566,-1.2282659510764375,0.8503431714476111,-2.8968043672504127,0.04572087006333079,74.85060983542166,2.4375394022644946e-17,0.9999999999999999,-0.9971622282937025,0.12564322469982847,0.060034305317324184,0.0411663807890223,0.0,21,Weak
NEAR-USD,2045,0.019038495054240406,1861.3410936688508,3.996207685517431,2.149577842813579e-06,0.0003624642939303868,-0.00012683454880368927,0.7407830599086382,0.3895111454957583,2244.914683564631,0.0,1.8319557136104208,3.6091986804188725,0.013481978717034134,-1.4804885046681466,0.7685976034838236,-3.1073103285999006,0.026016900306892975,102.13829670795027,2.779629284147091e-17,1.0,-0.7420937603736012,0.12811735941320293,0.05965770171149144,0.0058679706601467,0.0,21,Weak
RUNE-USD,2332,0.12722979880042343,13555.270259820305,2.6616527801425494,1.3823891541087923e-05,0.01618742170279608,0.015765184544728528,38.33727419179316,7.012559816423294e-10,1789.0190569371634,0.0,1.5983952002393746,2.873259283591741,0.01516356381592771,-1.1449434875557953,0.8717342270877155,-2.9227497893546883,0.042765745358287054,92.22403972665943,0.0,0.9999999999999998,-0.9773061475239634,0.13979416809605488,0.05317324185248713,0.0,0.0,19,Weak
SUI-USD,810,-0.5045743742558361,-22.59950139207307,0.007975505859473896,-1.0144807800502796e-07,0.2545952991556685,0.2536727685853166,275.97491870492075,1.5489533824642825e-53,305.66521210963083,4.223208620651178e-67,1.2889769848407953,1.5777308194253346,0.03447353502095177,-1.2495601953811108,0.8444411406727517,-2.6305157594780053,0.08685285370365292,33.397919828268876,-3.50885301609926e-17,1.0,-0.1994947096289641,0.17407407407407408,0.06419753086419754,0.08765432098765433,0.0,18,Weak
SOL-USD,2232,0.8408624786550906,1864530.639470635,-13.127023002392647,0.0019699147452086063,0.7070497080099827,0.706918340166041,5382.21292817824,0.0,228.44339363494603,2.4782628034120637e-50,0.6908012389535001,0.7460582236359334,0.011302811684414738,-2.0287317602615462,0.513614153477671,-2.439663962456869,0.1308529733747189,132.39946194722816,-1.2733740784231186e-17,1.0,-1.3695888756305463,0.15188172043010753,0.04077060931899642,0.11066308243727599,0.016129032258064516,17,Weak
VET-USD,2332,0.10891662217982061,125.53437396699256,0.030047866829819598,1.2802205615493784e-07,0.011862830587061945,0.011438737381305297,27.97222503458279,1.3454767895914953e-07,6980.988824258216,0.0,2.466900157534757,6.911904788191549,0.012074994518474302,-1.2008003981974351,0.8576912450402157,-2.865733243243555,0.04948032680541339,116.17398782149021,0.0,1.0,-0.9115655284543939,0.13293310463121785,0.0686106346483705,0.0,0.0,13,Weak
XLM-USD,2332,0.6120982000490591,2417.073587192986,0.07191305494251787,2.464972108687941e-06,0.3746642065032978,0.3743958220425696,1395.9981344923406,7.99953109816599e-240,1914.0458103124472,0.0,1.504407292712628,3.2741341150800043,0.016525854221929072,-1.077182590974586,0.8872039810353051,-2.5399470165169604,0.10605478076216379,86.60751966386813,0.0,1.0,-1.1956550002834627,0.15437392795883362,0.04716981132075472,0.11878216123499143,0.0,11,Weak
FIL-USD,2332,-0.08187424474257878,-72606.02664922703,20.69664452509518,-7.404484148157132e-05,0.006703391952167959,0.006277084395065802,15.724309458025708,7.548556646272772e-05,18563.39968835201,0.0,3.2501742663269493,12.229055444090895,0.009427606011224747,-1.5154935609804432,0.7552031154147854,-2.8192058324387657,0.05558228990509758,146.44064476473335,-4.875078804528989e-17,0.9999999999999999,-0.49586505548183935,0.11234991423670669,0.04759862778730703,0.0,0.0,11,Weak
EOS-USD,2332,-0.3410641704395285,-17843.44868938829,2.660265576709118,-1.8197047692381554e-05,0.11632476835760341,0.11594550860153374,306.71529603638174,1.3030197639260626e-64,6483.092067541391,0.0,2.1365689724410313,6.980656952666591,0.022988475238748727,-1.724161170613013,0.6657755241819392,-2.0118188897433997,0.2814150927064385,60.91891876209871,0.0,1.0,-0.7451486407681229,0.13850771869639794,0.05060034305317324,0.026586620926243566,0.0,10,Weak
LINK-USD,2332,0.47090423745809534,117764.08135109772,8.066833110138647,0.00012009778166200944,0.2217508008559903,0.22141678832416878,663.8996436652283,4.9876594784451785e-129,1776.8558594465078,0.0,1.6019038113309096,2.8433604046160355,0.017376881098879995,-0.9508487620351417,0.91177967960526,-2.5862039596669204,0.09588228400970022,80.10571071176183,-7.312618206793484e-17,1.0,-1.0998897698355867,0.13893653516295026,0.05574614065180103,0.0630360205831904,0.0,8,Weak
